"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2029","As an Android user, I should be able to see Success when input incorrect Username and Password","","Mon Feb 17 07:53:47 WIB 2025","broken","Mon Feb 17 07:53:49 WIB 2025","","Simple test for Login into Demo Apps","",""
"","30824","As an Android user, I should be able to see Error when input incorrect Username and Password","","Sun Feb 23 14:31:17 WIB 2025","failed","Sun Feb 23 14:31:48 WIB 2025","","Simple test for Login into Demo Apps","",""
"","5403","Validate Forms flow for Scenario 2","","Sun Feb 23 14:30:58 WIB 2025","passed","Sun Feb 23 14:31:03 WIB 2025","","Forms Flow Automation","",""
"","5234","Validate form fields for Scenario 2","","Sun Feb 23 14:12:36 WIB 2025","passed","Sun Feb 23 14:12:41 WIB 2025","","Forms Flow Automation","",""
"","0","Validate form fields for undefined","","Sun Feb 23 12:54:49 WIB 2025","broken","Sun Feb 23 12:54:49 WIB 2025","","Forms Flow Automation","",""
"","6292","Validate Forms flow for Scenario 1","","Sun Feb 23 14:30:51 WIB 2025","passed","Sun Feb 23 14:30:58 WIB 2025","","Forms Flow Automation","",""
"","5277","Validate form fields for Scenario 1","","Sun Feb 23 14:12:30 WIB 2025","passed","Sun Feb 23 14:12:35 WIB 2025","","Forms Flow Automation","",""
"","6883","Validate Forms flow for Scenario 3","","Sun Feb 23 14:31:04 WIB 2025","passed","Sun Feb 23 14:31:11 WIB 2025","","Forms Flow Automation","",""
"","5845","Validate form fields for Scenario 3","","Sun Feb 23 14:12:41 WIB 2025","passed","Sun Feb 23 14:12:47 WIB 2025","","Forms Flow Automation","",""
"","16566","As an Android user, I should be able to see Success when input correct Username and Password","","Sun Feb 23 14:31:32 WIB 2025","failed","Sun Feb 23 14:31:48 WIB 2025","","Simple test for Login into Demo Apps","",""
